ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
1,1,0,1.013,0.3613,0.263,0.746,0.746,0.246,0.209,0,6.58,0.07,0,0.171,7.6669,1,0.126,6.8337,0,___2_?
2,2,0,1.037,0.242,0.175,0.619,0.619,0.167,0.171,0,7.026,0.068,0.211,0.145,6.9,1,0.116,6.9,0,__________0.005779
3,3,0,1,0.272,0.184,0.632,0.632,0.197,0.2502,0,7.797,0.085,0.205,0.064,6.93,1,0,2,0,___#1____0.003942_
4,4,0,1.057,0.314,0.233,0.745,0.745,0.247,0.224,0.001864,10.602,0.135,0.336,0.336,9.331,1,0.132,11.58922,0,__1-1#_
5,5,0,1.997,0.2957,0.1759,1.93,0.4177,0.2073,0.2146,0,8.51,0.03,0.76,0.05,6.4,1,0.103,5.8,0,___32_
6,6,0,1.8548,0.2568,0.1693,1.8548,0.2568,0.1694,0.1867,0,7.88,0.05,1.025,0.05,7.36,1,0.073,7.84,0,___34_
7,7,0,1.8928,0.2751,0.1985,1.8929,0.2751,0.1985,0.2223,0,8.446,0.1792,0.938,0.1792,6.4,1,0.175,5.9816,0,___61_
8,8,0,1.104,0.272,0.191,0.653,0.653,0.297,0.238,0.003483,6.06,0.067,0.073,0.033,5.91,1,0,2,0,_____
9,9,0,0.9381,0.3537,0.2839,0.6475,0.6475,0.3144,0.2988,0,3.44,0.0466,0.0944,0.05,2.16,1,0.11,9.7,0,_____
10,10,0,1.038,0.259,0.163,0.651,0.651,0.186,0.181,0.01042,1.313,0.037,0.151,0.151,6.7,1,0,2,0,_____
11,11,0,0.9856,0.2955,0.1854,0.6194,0.6194,0.1903,0.188,0,6.59,0.102,0.237,0.073,4.97,1,0.156,4.91,0,_____
12,12,0,1.1128,0.2961,0.2019,0.7168,0.7168,0.2184,0.21,0,6.547,0.0661,0.3263,0.0326,4.9893,1,0,2,0,_____
13,13,0,1.037,0.327,0.245,0.624,0.624,0.271,0.258,0,8.521,0.092,0.181,0.077,10.4,1,0.076,7.145,0,___1_?
14,14,0,0.94,0.252,0.167,0.566,0.566,0.174,0.892,0,3.04,0.03,0,0.03,4.245,1,0,2,0,_____
15,15,0,1.085,0.282,0.186,0.665,0.665,0.196,0.191,0,6.8,0.081,0.22,0.0544,4.7,1,0.1,6.8,0,_____
16,16,0,0.9702,0.2877,0.217,0.6436,0.6436,0.2491,0.2323,0.0038,8.226,0.1042,0.227,0.0879,8.78,1,0,2,0,_____
17,17,0,0.9702,0.2877,0.217,0.6436,0.6436,0.2491,0.2323,0.0038,8.226,0.1042,0.227,0.0879,4.39,1,0,2,0,_____
18,18,0,0.995,0.301,0.215,0.656,0.656,0.192,0.21,0,8.668,0.145,0.351,0.351,7.95,1,0,2,0,_____
19,19,0,1.11,0.291,0.192,0.689,0.689,0.201,0.22,0,4.48,0.03,0.9,0.045,8,1,0.13,8.3885,0,___1_?
20,20,0,0.9172,0.2226,0.1653,0.5282,0.5282,0.1716,0.1685,0,5,0.057,0.2015,0.06,5.45,1,0.12,6.9,0,_____
21,21,0,0.93,0.31,0.23,0.64,0.64,0.25,0.24,0,7.47,0.06,0,0.12,6.13,1,0.06,9.24957,0,____
22,22,0,1.76,0.305,0.216,1.66,1.66,0.236,0.226,0,5.5,0.04,0.96,0.03,7.62,1,0.19,8.885,0,___32_
23,23,0,0.9462,0.3111,0.2123,0.615,0.615,0.221,0.2166,0,5.83,0.0797,0.176,0.06,6.8,1,0.13,6.6,0,_____
24,24,0,0.99,0.3,0.211,0.643,0.643,0.228,0.219,0,5.3,0.06,0.18,0.08,6.17,1,0.07,6.8,0,_____
25,25,0,1.0087,0.2609,0.1836,0.6831,0.6831,0.1724,0.1779,0,8.4597,0.1293,0,0.4635,6.9243,0.9375,0.0625,5.84,0,_____
26,26,0,1.066,0.2792,0.2018,0.6752,0.6752,0.2388,0.2195,0,8.34,0.0848,0.2383,0.1,4.9126,0.87,0.13,7.067,0,______
27,27,0,2.155,0.301,0.205,2.1,0.448,0.201,0.23,0,8.61,0.045,0.956,0.069,10.5,1,0.1685,4.18,0,___61_
28,28,0,2.155,0.301,0.205,2.1,0.448,0.201,0.23,0,8.61,0.045,0.956,0.069,10.5,1,0.15,8.32,0,___62_
29,29,0,0.955,0.239,0.18,0.578,0.578,0.21,0.194,0,10.45,0.145,0.33,0.122,8.2,1,0.136,8.1,0,_____
30,30,0,0.955,0.239,0.18,0.58,0.58,0.21,0.194,0,10.81,0.148,0,0.124,8.2,1,0.136,8.1,0,_____
31,31,0,1.092,0.371,0.292,0.705,0.705,0.317,0.304,0,3.502,0.051,0.113,0.06,2.4,1,0.111,8.59,0,_____
32,32,0,1.007,0.263,0.237,0.74,0.74,0.231,0.234,0,12.79,0.221,0.495,0.495,7.71,0.9,0,9,0,__#1_
33,33,0,1.05,0.298,0.197,0.655,0.655,0.204,0.2,0,5.32,0.052,0.135,0.06,5.15,1,0.17,6.3,0,_____
34,34,0,0.9972,0.2688,0.2077,0.6533,0.6533,0.2187,0.2179,0,5.04,0.0518,0.191,0.076,7.27,1,0.11,6.7,0,_____
35,35,0,0.985,0.291,0.225,0.628,0.628,0.231,0.228,0,8.2,0.0815,0.1622,0.0586,6.2,1,0.086,6.7,0,_____
36,36,0,0.97,0.3,0.21,0.64,0.64,0.25,0.23,0,8.7,0.06,0.11,0.11,5.8,1,0.155,5.7,0,
37,37,0,1.022,0.313,0.25,0.751,0.751,0.248,0.249,0.002753,11.952,0.136,0.34,0.34,9,1,0.125,9.73008,0,____#1
38,38,0,1.056,0.325,0.289,0.815,0.815,0.281,0.262,0.002567,11.377,0.161,0.455,0.455,9.09,0.9,0,9,0,____#7
39,39,0,1.0381,0.2253,0.1419,0.5982,0.5982,0.1475,0.1447,0,4.92,0.0654,0.18,0.03,6.25,1,0.118,8.28,0,_____
40,40,0,1.04,0.33,0.284,0.724,0.724,0.291,0.287,0.003344,10.2,0.151,0.26,0.26,7.704,0.9,0,9,0,__1-1#_
41,41,0,1.072,0.33,0.263,0.726,0.726,0.278,0.271,0.003191,9.827,0.127,0.309,0.309,8.501,1,0.126,9.6953,0,____#1
42,42,0,0.981,0.315,0.187,0.64,0.64,0.186,0.186,0,6.701,0.0716,0.163,0.052,5.49,1,0.081,7.881,0,_____
43,43,0,0.922,0.23,0.18,0.573,0.573,0.283,0.892,0,6.6,0.069,0.059,0.032,5.81,1,0.184,6.282,0,_____
44,44,0,1.081,0.2801,0.2073,0.7015,0.7,0.2027,0.205,0,12.82,0.0981,1,0.07,6,1,0.196,6.42,0,_____
45,45,0,1.273,0.2573,0.1764,0.7805,0,0.1764,0.182,0,6,0.05,0,0.05,6.41,1,0,2,0,____
46,46,0,1.064,0.321,0.246,0.761,0.761,0.24,0.243,0,11.54,0.206,0.575,0.575,10.297,1,0.13,9.65606,0,_____#1__
47,47,0,0.9946,0.2258,0.1895,0.6484,0.6484,0.2234,0.2058,0,8.182,0.1088,0.29,0.1197,5.5,1,0.14,6.5,0,_____
48,48,0,1.02,0.28,0.21,0.67,0.67,0.23,0.22,0,11.1,0.09,0.1,0.04,8.1,1,0.08,7.9,0,_____
49,49,0,1.1153,0.2483,0.2,0.654,0.654,0.2544,0.2502,0.00287,8.021,0.0861,0.1827,0.0808,4.47,1,0,2,0,____
50,50,0,0.9327,0.3045,0.2261,0.6244,0,0.2512,0.2383,0,4.06,0.03,0,0.03,6.183,1,0,2,0,_____
51,51,0,0.9023,0.2148,0.173,0.5745,0.5745,0.188,0.1803,0,7.4414,0.0982,0.2729,0.2729,6.61,1,0.12,7,0,_______Ra=0.003438__
52,52,0,1.0915,0.2722,0.165,0.6849,0.6849,0.252,0.212,0,9.02,0.361,0,0.0685,5.14,0.89,0.11,3.74,0,_____
53,53,0,0.916,0.292,0.2105,0.5907,0.5907,0.2047,0.1974,0,8.424,0.1127,0.2684,0.0908,9.57,1,0,5,0,____Ra=0.0036
54,54,0,1.0708,0.2482,0.1953,0.6111,0.6111,0.2082,0.2016,0,3.1585,0.0594,0.1344,0.0524,2.466,1,0,5,0,____Ra=0.1225__75__
55,55,0,0.999,0.246,0.204,0.6214,0.609,0.265,0.188,0,8.74,0.109,0.2999,0.0935,5.4,1,0.213,4.9,0,_____
56,56,0,0.9924,0.2298,0.1859,0.635,0.635,0.2002,0.1929,0,8.5784,0.1013,0.3107,0.1522,5.85,1,0.073,7.2,0,_____
57,57,0,1.8548,0.2568,0.1693,1.8548,0.2568,0.1693,0.1867,0,9.223,0.0507,1.025,0.0507,7.36,1,0.14,8.739,0,___31_
58,58,0,1.0344,0.2325,0.1684,0.6721,0.6721,0.1921,0.1803,0,6.75,0.07,0.195,0.0679,6.19,1,0,2,0,_____
59,59,0,0.9992,0.2192,0.1795,0.6328,0.6328,0.2018,0.1902,0,9.35,0.1115,0.32,0.06,5.5,1,0.154,6.95,0,____
60,60,0,1.025,0.267,0.185,0.649,0.649,0.209,0.197,0,6.253,0.0641,0.15,0.049,6.1,1,0.18,8.3,0,_____
61,61,0,1.034,0.2254,0.1714,0.6772,0.6772,0.2048,0.1881,0,5.698,0.0598,0.164,0.0568,8.76,1,0.1,7.2,0,_____
62,62,0,1.1262,0.2005,0.1542,0.7124,0.7124,0.2067,0.1805,0,7.239,0.2009,0.5122,0.1828,7.473,1,0.09687,7.90667,0,_____Ra=0.0086__
63,63,0,0.96,0.288,0.215,0.638,0.638,0.239,0.227,0,7.419,0.1,0.252,0.252,7.83,1,0.187,8.36,0,_____
64,64,0,1.023,0.301,0.246,0.714,0.714,0.231,0.239,0.00293,7.385,0.118,0.302,0.302,8.62,1,0,2,0,_____
65,65,0,0.9731,0.3187,0.2211,0.6489,0.6489,0.2291,0.225,0,9.6879,0.1284,0.3149,0.09,8.1,1,0.1,7,0,_____
66,66,0,0.85,0.29,0.25,0.6,0.6,0.26,0.25,0.0042,6.3,0.06,0.1,0.1,8.37,1,0.112,7.389,0,_____
67,67,0,0.825,0.229,0.203,0.533,0.533,0.205,0.146,0,4.73,0.029,0.088,0.024,6.7,1,0.11,8.1,0,_____
68,68,0,0.995,0.339,0.237,0.666,0.666,0.248,0.242,0,2.19,0.025,0.053,0.053,5.1,0.9,0,9,0,___#4__
69,69,0,1.0718,0.2837,0.1827,0.7064,0.7064,0.2104,0.1956,0,5.4699,0.0496,0.1393,0.1234,4.9,1,0.075,7.9,0,_____
70,70,0,0.9903,0.2342,0.1939,0.6513,0.6513,0.2209,0.207,0,8.7406,0.109,0.2999,0.05,5.8,1,0.184,5.84,0,_____
71,71,0,1.1108,0.2897,0.2235,0.7258,0.7258,0.2633,0.2434,0,6.0412,0.0571,0.1267,0.0526,6.576,1,0.154,6.29,0,_____
72,72,0,1.17,0.27,0.18,0.6089,0.6089,0.2193,0.2163,0,4.3,0.05,0.13,0.05,5.7,1,0.147,7.54,0,___12_
73,73,0,1.17,0.27,0.18,0.6089,0.6089,0.2193,0.2163,0,4.3,0.05,0.13,0.05,6,1,0.17,6.19,0,___3_?
74,74,0,1.0834,0.2872,0.203,0.6687,0.6687,0.1956,0.1322,0,6.43,0.0774,0.2046,0.06,5.81,1,0.1149,6.6982,0,_____
75,75,0,1.037,0.2705,0.21,0.6627,0.6627,0.2156,0.2031,0,5.24,0.228,0.218,0.073,5.8,1,0.13,7.3,0,_____
76,76,0,1.8548,0.2568,0.1693,1.8548,0.2568,0.1693,0.1867,0,9.223,0.0507,1.025,0.0507,7.4,1,0.123,8.692,0,___32_
77,77,0,2.21,0.24,0.18,2.04,0.388,0.194,0.079,0,9.34,0.03,0.95,0.05,8,1,0.136,7.0925,0,___11_
78,78,0,1.01,0.264,0.16,0.731,0.731,0.166,0.164,0,11.156,0.0739,0.233,0.053,6,1,0.16,6,0,_____
79,79,0,1.087,0.289,0.202,0.684,0.684,0.228,0.215,0,10.035,0.04,0.259,0.06,6,1,0.2,6.4,0,_____
80,80,0,1.0054,0.2204,0.1827,0.6283,0.6283,0.2072,0.1946,0,8.37,0.093,0.124,0.27,5.49,1,0.185,5.77702,0,____
81,81,0,0.9965,0.3228,0.2311,0.6657,0.6657,0.2467,0.2388,0,12.72,0.1413,0.334,0.334,9,1,0.129,7.75454,0,_____
82,82,0,1.0446,0.3145,0.1872,0.6952,0.6952,0.2055,0.1959,0,8.8536,0.0795,0.2241,0.1839,7.2,1,0.074,7.17,0,_____
83,83,0,1.0782,0.3044,0.192,0.6917,0.6917,0.2974,0.2447,0,9.0514,0.1134,0.1379,0.0715,6,1,0.07,7,0,_____
84,84,0,0.939,0.238,0.181,0.57,0.21,0.21,0.195,0,10.45,0.145,0.33,0.122,8.4,1,0.14,9.3,0,_____
85,85,0,1.8899,0.2717,0.1952,1.8899,0.2717,0.1952,0.2183,0.002006,8.446,0.0487,0.9384,0.0487,8.38,1,0,2,0,_____
86,86,0,0.9415,0.3259,0.2389,0.6401,0.6401,0.2496,0.2477,0.0063,5.5718,0.0816,0.1764,0.1764,5.88,1,0,2,0,_____
87,87,0,1.0512,0.2993,0.187,0.7025,0.7025,0.2324,0.2348,0.003356,8.972,0.1709,0.3654,0.1608,6.79,1,0,2,0,_____
88,88,0,0.99,0.325,0.245,0.638,0.638,0.261,0.2589,0,2.97,0.0382,0.088,0.038,2.54,1,0,2,0,____Tj
89,89,0,0.9932,0.2353,0.1772,0.6427,0.6427,0.1914,0.1919,0,9.48,0.0795,0.2241,0.1839,7.2,1,0.074,7.17,0,___90__________
90,90,0,1.0481,0.3531,0.2571,0.7086,0.7086,0.2781,0.2674,0,5.9488,0.0899,0.1951,0.0766,6.5,1,0.117,8.8,0,_____
91,91,0,0.984,0.257,0.2,0.578,0.5779,0.2663,0.1446,0,7.32,0.12,0.283,0.098,5.98,1,0.18,4.6,0,_____
92,92,0,1.186,0.242,0.146,0.684,0.68,0.149,0.271,0,4.06,0.0325,0.1025,0.0225,4.35,1,0.075,9.5577,0,____#1
93,93,0,1.8968,0.2411,0.1518,1.8786,0.2384,0.153,0.1893,0,9.34,0.052,1.075,0.053,3.73,0.88,0.12,9,0,____
94,94,0,1.029,0.285,0.257,0.641,0.641,0.308,0.238,0,6.17,0.072,0.072,0.05,6.4,1,0.116,5.45,0,_____
95,95,0,1.0988,0.3047,0.2033,0.7258,0,0.1837,0.1932,0,10.88,0.1313,0,0.432,6.456,1,0.155,5.7,0,___1_?
96,96,0,0.995,0.2444,0.1751,0.6234,0.6234,0.204,0.189,0,5.83,0.27,0.25,0.083,4.9,1,0.13,7,0,_____
97,97,0,1.099,0.284,0.224,0.702,0.702,0.293,0.259,0,6.366,0.04,0.227,0.06,3.8,1,0.11,7.3,0,_____
98,98,0,1.0639,0.2517,0.1892,0.643,0.643,0.2216,0.2052,0,8.673,0.1023,0.2294,0.0945,6.2,1,0.14,5.7,0,_____
99,99,0,1.8548,0.2568,0.1693,1.8548,0.2568,0.1693,0.1867,0,9.223,0.0507,1.025,0.0507,7.4,1,0.153,9.173,0,_____
100,100,0,1.0299,0.3093,0.204,0.6709,0.6709,0.2095,0.205,0,8.34,0.109,0.299,0.106,5.6,1,0.11,5.9,0,_____
101,101,0,1.0649,0.2385,0.1801,0.6449,0.6449,0.2112,0.1956,0.0032,9.7584,0.1297,0.3055,0.1167,6.67,1,0,2,0,_____
102,102,0,1.0767,0.2616,0.1928,0.699,0.699,0.2301,0.2114,0,9.672,0.1206,0.2294,0.0945,5.6,1,0.18,7.7,0,_____
103,103,0,1.066,0.2792,0.2018,0.6752,0.6752,0.2388,0.2195,0,8.34,0.0848,0.2383,0.1,4.9126,0.88,0.12,9.32,0,_____
104,104,0,0.9826,0.308,0.198,0.627,0.627,0.201,0.199,0,8.43,0.0883,0.21,0.1,7.953,1,0.134,5.65,0,_____
105,105,0,1.032,0.326,0.244,0.622,0.622,0.27,0.257,0,8.668,0.0983,0.181,0.08,4.6,1,0.13,6.4,0,_____
106,106,0,0.91,0.27,0.23,0.62,0.62,0.24,0.271,0,8.34,0.05,0.09,0.1,8.47,1,0.095,8.30702,0,____
107,107,0,1.03,0.3267,0.2215,0.6874,0.6874,0.2305,0.2129,0,8.933,0.0866,0.219,0.0735,6.22,1,0.125,7.99,0,_____
108,108,0,1.0944,0.2433,0.1794,0.6514,0.6514,0.21,0.1947,0.00223,9.7525,0.1042,0.2469,0.0969,6.37,1,0,2,0,____
109,109,0,1.028,0.2449,0.1701,0.6157,0.6157,0.2059,0.192,0,10.1,0.115,0.2813,0.115,6.97,1,0.181,7.52,0,_____
110,110,0,1.014,0.3186,0.2558,0.641,0.641,0.282,0.281,0,3.3765,0.0273,0.0833,0.0296,2.3,1,0.205,7.3,0,_____
111,111,0,0.979,0.279,0.204,0.629,0.629,0.196,0.226,0,5.91,0.097,0.239,0.239,7.5,1,0.094,4.44,0,__#4_
112,112,0,0.9462,0.3111,0.2123,0.615,0.615,0.221,0.202215,0,5.83,0.08,0,0.03,6.6,1,0,2,0,bpagen_
113,113,0,0.972,0.289,0.223,0.576,0.576,0.238,0.202215,0,4.516,0.08,0.081,0.03,6.6,1,0,2,0,bpagen_
114,114,0,0.98,0.15,0.0975,0.5278,0.5278,0.34307,0.0975,0.00524,8,0.03,0,0.05,9.23077,0.9,0,9,0,bpagen_
115,115,0,0.9462,0.3111,0.2488,0.615,0.615,0.221,0.202215,0,5.83,0.0247,0.0935,0.0211,1.02,1,0,2,0,bpagen_
116,116,0,0.9462,0.3111,0.2488,0.615,0.615,0.221,0.202215,0,5.83,0.0025,0.0935,0.0211,1.02,1,0,2,0,bpagen_
117,117,0,1.043,0.304,0.194,0.689,0.689,0.197,0.202215,0,2.901,0.08,0,0.03,9.12992,1,0,2,0,bpagen_
118,118,0,1.043,0.304,0.1954,0.689,0.689,0.197,0.202215,0,2.901,0.08,0,0.03,9.12992,1,0,2,0,bpagen_
119,119,0,0.946,0.311,0.2123,0.615,0.615,0.221,0.202215,0,5.83,0.08,0,0.03,3.14,1,0,2,0,bpagen_
120,120,0,0.9462,0.3111,0.2123,0.615,0.615,0.221,0.202215,0,5.83,0.08,0,0.03,1.02,1,0,2,0,bpagen_
121,121,0,0.969,0.2074,0.207,0.571,0.571,0.571,0.13481,0,5.43,0.141,0.06,0.141,4.12766,1,0.2,7,0,bpagen_
122,122,0,0.946,0.3111,0.2123,0.615,0.615,0.221,0.202215,0,5.83,0.08,0,0.03,3.14,1,0,2,0,bpagen_
123,123,0,0.9462,0.3111,0.2123,0.615,0.615,0.221,0.202215,0,5.83,0.08,0,0.03,3.33,1,0,2,0,bpagen_
124,124,0,0.9462,0.3111,0.2123,0.615,0.615,0.221,0.202215,0,5.83,0.08,0,0.03,9.12992,1,0,2,0,bpagen_
125,125,0,0.9462,0.3111,0.2123,0.615,0.615,0.221,0.202215,0,5.83,0.08,0,0.03,1.58,1,0,2,0,bpagen_
126,126,0,0.9866,0.393,0.32,0.676,0.5,0.353,0.25545,0,3.63,0.04,0,0.06,6.12245,1,0.1,6.4,0,bpagen_
127,127,0,0.9462,0.3111,0.2123,0.615,0.615,0.221,0.202215,0,5.83,0.08,0,0.03,2.0636,1,0,2,0,bpagen_
128,128,0,0.9866,0.393,0.32,0.676,0.5,0.353,0.25545,0,3.51,0.04,0,0.06,5.632,1,0.1,6.9,0,bpagen_
129,129,0,1.072,0.298,0.222,0.771,0.298,0.202,0.1937,0,5.8,0.0224,0,0.04,3,1,0.1,8,0,bpagen_
130,130,0,0.847,0.278,0.194,0.622,0.639,0.216,0.1807,0,4.219,0.0342,0.086,0.0301,5.59864,1,0.2,7,0,bpagen_
131,131,0,1.218,0.245,0.244,0.691,0.691,0.69,0.202215,0,2.49,0.08,0,0.03,1.02,1,0,2,0,bpagen_
132,132,0,1.222,0.251,0.167,0.708,0.708,0.182,0.202215,0,2.69,0.08,0.072,0.03,1.02,1,0,2,0,bpagen_
133,133,0,1.122,0.251,0.167,0.708,0.708,0.182,0.202215,0,2.69,0.08,0.072,0.03,1.02,1,0,2,0,bpagen_
134,134,0,0.917,0.276,0.203,0.68,0.68,0.214,0.1794,0,6.24,0.1,0.25,0.253,6.37479,1,0,2,0,bpagen_
135,135,0,1.011,0.191,0.131,1.012,0.615,0.221,0.202215,0,5.83,0.826,0.086,0.03,4.14611,1,0,2,0,bpagen_
136,136,0,1.011,0.191,0.131,1.012,0.615,0.221,0.202215,0,5.83,0.08,0.086,0.03,4.14611,1,0,2,0,bpagen_
137,137,0,1.011,0.191,0.131,1.012,0.615,0.221,0.202215,0,5.83,0.0826,0.086,0.03,4.14611,1,0,2,0,bpagen_
138,138,0,1.011,0.3111,0.2123,1.012,0.615,0.221,0.202215,0,5.83,0.08,0.086,0.03,4.14611,1,0,2,0,bpagen_
139,139,0,1.7,0.238,0.188,1.6,0.396,0.198,0.188734,0,5.88,0.03,1,0.05,5.33333,1,0.2,6.4,0,bpagen_
140,140,0,1.7,0.238,0.188,1.6,0.396,0.198,0.188734,0,5.88,0.03,1,0.05,5.33333,1,0.1,7.6,0,bpagen_
141,141,0,1.7,0.238,0.1033,1.6,0.396,0.198,0.188734,0,2.88,0.03,1,0.05,5.33333,1,0.2,6.4,0,bpagen_
142,142,0,1.7,0.238,0.1033,1.6,0.396,0.198,0.188734,0,3.06,0.03,1,0.05,5.33333,1,0.1,8.1,0,bpagen_
143,143,0,1.7,0.238,0.1033,1.6,0.396,0.198,0.188734,0,2.88,0.03,1,0.05,5.33333,1,0.1,7.6,0,bpagen_
144,144,0,0.849,0.293,0.233,0.541,0.541,0.253,0.202215,0,3.52,0.05,0.109,0.109,6.6,1,0.158,2,0,bpagen_
145,145,0,0.849,0.293,0.233,0.541,0.00541,0.253,0.202215,0,3.52,0.05,0.109,0.109,6.6,1,0,2,0,bpagen_
146,146,0,0.95,0.33,0.24,0.69,0.69,0.27,0.255,0,6.5,0.06,0.3,0.11,7.17,1,0.1,8.7,0,___1-4?
147,147,0,1.0402,0.2895,0.1895,0.6952,0.6952,0.2083,0.11,0,3.416,0.097,0.149,0.129,6.06,1,0.15,7.5,0,___5_?
148,148,0,0.9737,0.2494,0.1849,0.6079,0.6079,0.1877,0.1638,0.005,7,0.0804,0.1804,0.0482,7.3,1,0,2,0,_____
149,149,0,0.9172,0.2226,0.1653,0.5282,0.5282,0.1716,0.1635,0,5,0.057,0.2015,0.06,5.45,1,0.12,6.9,0,_____
150,150,0,1.0047,0.2744,0.1798,0.645,0.645,0.1844,0.184,0,4.98,0.0686,0.1807,0.18,5.44,1,0.238,5.46,0,_____
151,151,0,1.05,0.2296,0.19,0.6561,0.6562,0.2159,0.2025,0,8.3735,0.0927,0.1231,0.2679,5.79,1,0.238,5.46,0,____
152,152,0,1.096,0.2958,0.2173,0.7238,0.7238,0.2464,0.23,0,8.412,0.1427,0.3059,0.1316,7.3,1,0.149,5.54,0,_____
153,153,0,0.999,0.3196,0.204,0.7078,0.7078,0.209,0.2067,0,8.48,0.1226,0.255,0.1839,7.65,1,0.097,8.74314,0,_____
154,154,0,1.038,0.247,0.18,0.625,0.625,0.188,0.184,0,8.2,0.078,0.074,0.029,5.7,1,0.13,7.6,0,_____
155,155,0,1.91,0.297,0.249,1.87,0.473,0.245,0.217,0.000985,8.6,0.041,0.956,0.067,12.55,1,0,2,0,_____
156,156,0,0.9396,0.2984,0.2169,0.6533,0.6533,0.2404,0.2283,0,12.8669,0.1502,0.3488,0.1284,10.4,1,0,2,0,______Ra=0.0003__
157,157,0,0.986,0.296,0.185,0.619,0.619,0.19,0.188,0,7.05,0.102,0.237,0.073,6.8,1,0.109,6.8,0,_____
158,158,0,1.1721,0.2669,0.1725,0.7055,0.7055,0.274,0.7393,0,6.05,0.066,0.074,0.043,4.0248,1,0,2,0,_____
159,159,0,0.9599,0.1699,0.1512,0.5196,0.5196,0.163,0.1477,0,7.596,0.1036,0.2278,0.106,8.5,1,0.21,6.8,0,____
160,160,0,0.938,0.275,0.179,0.589,0.589,0.187,0.183,0,6.082,0.0777,0.18,0.057,5.114,1,0.1306,5.82727,0,____
161,161,0,0.971,0.2576,0.1815,0.6,0.6,0.2014,0.1912,0.0039,5.27,0.071,0.1674,0.2014,8.45,1,0,2,0,_____
162,162,0,1.1126,0.2306,0.1762,0.7016,0.7016,0.2189,0.1976,0,8.37,0.0731,0.1942,0.0723,5.96,1,0.15,7.3,0,_____
163,163,0,1.1098,0.2338,0.1707,0.6348,0.6348,0.1976,0.1837,0,8.313,0.073,0.183,0.0572,4.9,1,0.1,9.7,0,_____
164,164,0,0.1627,0.0523,0.0359,0.116,0.116,0.0425,0.0392,0,13.475,0.09,0.09,0.14,53.61313,1,0.084,7.62,0,ERTAN1_80_
165,165,0,1.8929,0.2751,0.1985,1.8929,0.2751,0.1985,0.2223,0,8.446,0.1792,0.938,0.1792,8,1,0.154,8.1971,0,___61_
166,166,0,1.8929,0.2751,0.1985,1.8929,0.2751,0.1985,0.2223,0,8.446,0.1792,0.938,0.1792,8,1,0.146,7.17393,0,___62_
167,167,0,0.9922,0.3199,0.2293,0.6647,0.6647,0.2717,0.2478,0,4.733,0.052,0.111,0.103,7.05,1,0.16,7.5,0,_____
168,168,0,1.016,0.3243,0.2025,0.6405,0.6405,0.2071,0.2048,0,4.91,0.179,0.159,0.051,4.86,1,0,2,0,_____
169,169,0,0.8697,0.3768,0.2862,0.6071,0.6071,0.327,0.3052,0,2.5256,0.0386,0.0656,0.0606,2.47,1,0,2,0,_____
170,170,0,0.99,0.282,0.22,0.66,0.66,0.22,0.1987,0.0046,8.6235,0.072,0.1878,0.092,8.48,1,0.135,8.71417,0,_____
171,171,0,1.3186,0.2666,0.1827,0.8087,0.8087,0.1827,0.1888,0,6,0.05,0,0.05,6.19,1,0,2,0,_____
172,172,0,1.066,0.336,0.264,0.708,0.708,0.276,0.209,0,6.58,0.07,0,0.171,7.0007,1,0.126,6.8337,0,___1_
173,173,0,1.066,0.336,0.264,0.708,0.708,0.247,0.209,0,6.58,0.07,0,0.171,7.0007,1,0.126,6.8337,0,___1_?
174,174,0,0.9791,0.2882,0.1947,0.6216,0.6216,0.2082,0.2014,0,7.41,0.0866,0.1941,0.06,7.4,1,0.12,6.5,0,_____
175,175,0,1.8899,0.2717,0.1952,1.8899,0.2717,0.1952,0.2183,0,8.446,0.035,0.938,0.035,10.762,1,0,2,0,_____
176,176,0,1.8899,0.2717,0.1952,1.8899,0.2717,0.1952,0.2183,0.001456,8.446,0.035,0.938,0.035,10.762,1,0.145,6.38439,0,_____
177,177,0,1.1,0.23,0.154,0.89,0.89,0.163,0.6122,0,7.18,0.043,0.3263,0.0326,4.829,1,0,2,0,____
178,178,0,1.038,0.304,0.193,0.662,0.662,0.197,0.195,0.00825,5.724,0.0479,0.124,0.037,7.2,1,0.14,7.2,0,_____
179,179,0,1.01,0.264,0.16,0.731,0.731,0.166,0.164,0,11.156,0.0739,0.233,0.053,6,1,0.17,6.3,0,____
180,180,0,1.0974,0.2539,0.181,0.7293,0.7293,0.2097,0.1948,0,8.988,0.04,0.1,0.06,6.2,1,0.18,6.92,0,_____
181,181,0,1.15,0.28,0.19,0.65,0.65,0.21,0.2,0,11,0.07,0.18,0.08,5.5,1,0.2,6.45,0,_____
182,182,0,0.9951,0.2369,0.1908,0.6336,0.6336,0.2073,0.1989,0,7.4414,0.0982,0.2729,0.1124,6,1,0.13,6.4,0,_____
183,183,0,0.855,0.25,0.22,0.563,0.563,0.23,0.22,0,6,0.05,0,0.05,6.42,1,0.165,7.623,0,_____
184,184,0,1.1299,0.2735,0.1711,0.688,0.688,0.2766,0.2176,0,5.34,0.0069,0.0073,0.0073,9.41,1,0,2,0,_____
185,185,0,1.1172,0.267,0.183,0.67,0.67,0.3013,0.2346,0,5.18,0.05,0.057,0.145,5.1,1,0,2,0,_____
